"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-12-31,"Canterbury","CT","Willimantic","Windham",5548,213000,0.00141043723554302,0.00519112789051439,0.0502958579881657,-0.00734698514129184,-0.00345457210546085,"2007-07","2007-Q3",268200,-0.205816554809843,"2004-11"
2014-12-31,"Cheshire","CT","New Haven","New Haven",5549,270400,-0.0138584974471189,-0.0255855855855856,-0.0209992758870384,-0.0159258735112311,-0.0101360928038641,"2006-04","2006-Q2",327500,-0.174351145038168,"2003-11"
2014-12-31,"North Braddock","PA","Pittsburgh","Allegheny",5550,43300,-0.0091533180778032,-0.0356347438752784,0.0236406619385343,0.00611522545582832,0.010513986453911,"2014-08","2014-Q3",45100,-0.0399113082039911,"2014-04"
2014-12-31,"Taylor","PA","Scranton","Lackawanna",5551,104800,0.00672430355427474,0.00769230769230769,0.00479386385426654,-0.018574830145068,0.0110428658214738,"2010-12","2010-Q4",122600,-0.145187601957586,"2007-03"
2014-12-31,"La Porte City","IA","Waterloo","Black Hawk",5552,138000,0.013215859030837,0.039939713639789,0.0943695479777954,0.028861668138116,0.00962048791065939,"2014-12","2014-Q4",138000,0,"2014-12"
2014-12-31,"Santee","SC","Orangeburg","Orangeburg",5553,99400,-0.00100502512562814,-0.00400801603206413,-0.0405405405405405,-0.0361627742080914,0.00864689191033441,"2008-04","2008-Q2",137400,-0.276564774381368,"2005-06"
2014-12-31,"Noble","OK","Oklahoma City","Cleveland",5554,108100,0.0083955223880597,0.0217391304347826,0.0886203423967775,0.0408220509451376,0.0353167337484963,"2014-12","2014-Q4",108100,0,"2014-12"
2014-12-31,"Moseley","VA","Richmond","Chesterfield",5555,334400,0.00450585761489937,0.0118003025718608,0.0362565850635265,0.0127330673381605,0.0183871951376726,"2007-05","2007-Q2",364600,-0.0828304991771805,"2006-04"
2014-12-31,"Tega Cay","SC","Charlotte","York",5556,276900,0.0043525571273123,0.0191387559808612,0.0658198614318707,0.0108153421292927,0.0208817895506677,"2014-12","2014-Q4",276900,0,"2014-12"
2014-12-31,"Pine Grove","CA",,"Amador",5557,251900,0.00478659752692461,0.0194253338729259,0.0336479277800575,0.0083012449616775,-0.0237668161083016,"2005-12","2005-Q4",388100,-0.350940479257923,"2003-10"
